rank,keyword,channel,horizon,trend_score,predicted_delta,velocity_z,breakout,evidence,suggested_action
1,what is the minimum salary for a credit card in uae,aeo,week,100.0,0.216,48069.268,True,,BREAKOUT detected — act now while competition is low. Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
2,how does islamic home finance work,aeo,week,92.2,-0.001,11946.138,False,,Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
3,كيف أحول أموال من الإمارات إلى الهند,aeo,week,87.9,0.003,14723.412,False,,Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
4,how to open a bank account in uae,aeo,week,65.1,0.147,0.387,False,,Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
5,how to check credit score in uae,aeo,week,58.2,0.238,-0.096,False,,Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
6,what is ai in banking and finance,aeo,week,56.9,0.327,-0.0,True,2026-08-08: question suggestion for 'what is ai in banking' [AE/en] | 2026-08-09: question suggestion for 'what is ai in banking' [AE/en] | 2026-08-10: question suggestion for 'what is ai in banking' [AE/en],"BREAKOUT detected — act now while competition is low. Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages."
7,what is an iban number,aeo,week,56.0,0.074,0.162,False,,Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
8,how to use credit card uae,aeo,week,50.5,0.192,-0.0,True,2026-08-08: question suggestion for 'how to credit card uae' [AE/en] | 2026-08-09: question suggestion for 'how to credit card uae' [AE/en] | 2026-08-10: question suggestion for 'how to credit card uae' [AE/en],BREAKOUT detected — act now while competition is low. Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
9,what is adcb,aeo,week,50.1,0.179,0.0,False,2026-08-13: question suggestion for 'what is adcb' [AE/en] | 2026-08-14: question suggestion for 'what is adcb' [AE/en] | 2026-08-08: question suggestion for 'what is adcb' [AE/en],Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
10,which bank is best for salary account in uae,aeo,week,49.7,0.111,0.039,False,,Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
